,Surname,Forename,Votes,Share,Elected,Description,Length of term,Turnout,Ward,Electorate
0,Anderson,Barry John,4856,23.8,ELECTED,Conservative Party Candidate,4 Years,45.2, Adel and Wharfedale,15984
1,Anderson,Caroline Helen,4269,20.9,ELECTED,Conservative Party Candidate,2 Years,45.2, Adel and Wharfedale,15984
2,Flynn,Billy,3881,19.0,ELECTED,Conservative Party Candidate,1 Year,45.2, Adel and Wharfedale,15984
3,Gill,Nigel James,1556,7.6,,Labour Party,,45.2, Adel and Wharfedale,15984
4,Jackson,Peter,977,4.8,,Liberal Democrats,,45.2, Adel and Wharfedale,15984
5,Montgomerie,Geraldine Robertshaw,1435,7.0,,Labour Party,,45.2, Adel and Wharfedale,15984
6,Rontree,Andy,1264,6.2,,Labour Party,,45.2, Adel and Wharfedale,15984
7,Swales,Liddy,591,2.9,,Green Party,,45.2, Adel and Wharfedale,15984
8,Thornley,Ed,715,3.5,,Liberal Democrats,,45.2, Adel and Wharfedale,15984
9,Trewhella,Jane Sharon,883,4.3,,Liberal Democrats,,45.2, Adel and Wharfedale,15984
10,Buckley,Neil Alan,4111,20.3,ELECTED,Conservative Party Candidate,2 Years,41.5, Alwoodley,17605
11,Cohen,Dan,4209,20.8,ELECTED,Conservative Party Candidate,4 Years,41.5, Alwoodley,17605
12,Harrand,Peter Mervyn,3896,19.3,ELECTED,Conservative Party Candidate,1 Year,41.5, Alwoodley,17605
13,Hendrickson,Claude,2141,10.6,,Labour Party,,41.5, Alwoodley,17605
14,Jackson,Brian,194,1.0,,Alliance for Green Socialism,,41.5, Alwoodley,17605
15,Khan,Mumtaz Ahmed,2019,10.0,,Labour Party,,41.5, Alwoodley,17605
16,Moss,Miriam Leontine,639,3.2,,Green Party,,41.5, Alwoodley,17605
17,Parker,Roderic,633,3.1,,Liberal Democrats,,41.5, Alwoodley,17605
18,White,Keith Michael,2389,11.8,,Labour Party,,41.5, Alwoodley,17605
19,Baldwin,Kirsty Elise,1686,11.9,,Conservative Party Candidate,,30.9, Ardsley and Robin Hood,17530
20,Carter,Emma Louise,503,3.5,,The Green Party Candidate,,30.9, Ardsley and Robin Hood,17530
21,Dunn,Jack,1694,11.9,,Independent,,30.9, Ardsley and Robin Hood,17530
22,Foster,Mike,1897,13.4,,Conservative Party Candidate,,30.9, Ardsley and Robin Hood,17530
23,Garner,Ben,2074,14.6,ELECTED,Labour and Co-operative Party,2 Years,30.9, Ardsley and Robin Hood,17530
24,Hall,George Rome,332,2.3,,Liberal Democrats,,30.9, Ardsley and Robin Hood,17530
25,Mulherin,Lisa Marie,2013,14.2,ELECTED,Labour and Co-operative Party,1 Year,30.9, Ardsley and Robin Hood,17530
26,Renshaw,Karen,2371,16.7,ELECTED,Labour and Co-operative Party,4 Years,30.9, Ardsley and Robin Hood,17530
27,Stephenson,Cameron Jake,1610,11.4,,Conservative Party Candidate,,30.9, Ardsley and Robin Hood,17530
28,Binns,Andrea Kay,732,6.2,,Green Party,,26.8, Armley,16704
29,Hooper,Rob,175,1.5,,Trade Unionists and Socialists Against Cuts,,26.8, Armley,16704
30,Jones,Gideon Matthew William,545,4.6,,Green Party,,26.8, Armley,16704
31,Leech,Matthew James,657,5.5,,Conservative Party Candidate,,26.8, Armley,16704
32,Lowe,Alison Natalie Kay,2447,20.6,ELECTED,Labour Party,1 Year,26.8, Armley,16704
33,McKenna,James,2632,22.2,ELECTED,Labour Party,2 Years,26.8, Armley,16704
34,Miller,James Edward,261,2.2,,The For Britain Movement,,26.8, Armley,16704
35,Murphy-Fell,Robert Raymond,522,4.4,,Conservative Party Candidate,,26.8, Armley,16704
36,Smart,Alice Ellen Schofield,2747,23.2,ELECTED,Labour Party,4 Years,26.8, Armley,16704
37,Tinsley,Nicola Louise,565,4.8,,Conservative Party Candidate,,26.8, Armley,16704
38,Walker,Dan,387,3.3,,Liberal Democrats,,26.8, Armley,16704
39,Withill,John Paul,184,1.6,,Democrats and Veterans Party,,26.8, Armley,16704
40,Almas,Gohar,2471,18.8,ELECTED,Labour Party,2 Years,28.8, Beeston and Holbeck,16927
41,Birch,Bill,1281,9.7,,Save Our Beeston & Holbeck Independents,,28.8, Beeston and Holbeck,16927
42,Brear,Owen Arthur David,343,2.6,,Green Party,,28.8, Beeston and Holbeck,16927
43,Buckley,Lyn Jean,464,3.5,,Conservative Party Candidate,,28.8, Beeston and Holbeck,16927
44,Durdin,Robert William Fraser,159,1.2,,Liberal Democrats,,28.8, Beeston and Holbeck,16927
45,Gabriel,Angela,2593,19.7,ELECTED,Labour Party,4 Years,28.8, Beeston and Holbeck,16927
46,Gaines,Jarrod Anthony,197,1.5,,Liberal Democrats,,28.8, Beeston and Holbeck,16927
47,Robertson,Ian,395,3.0,,Conservative Party Candidate,,28.8, Beeston and Holbeck,16927
48,Scopes,Andrew Timothy,2257,17.1,ELECTED,Labour Party,1 Year,28.8, Beeston and Holbeck,16927
49,Sturman,Sean Patrick,1250,9.5,,Save Our Beeston and Holbeck Independents,,28.8, Beeston and Holbeck,16927
50,Walton,Laura Elizabeth,1269,9.6,,Save Our Beeston and Holbeck Independents,,28.8, Beeston and Holbeck,16927
51,Winfield,Robert James William,495,3.8,,Conservative Party Candidate,,28.8, Beeston and Holbeck,16927
52,Bee,Elizabeth Anne,528,4.5,,Liberal Democrats,,26.2, Bramley and Stanningley,16923
53,Caprariu,Ovidiu,772,6.6,,Conservative Party Candidate,,26.2, Bramley and Stanningley,16923
54,Gruen,Caroline Anne,2560,21.8,ELECTED,Labour Party,2 Years,26.2, Bramley and Stanningley,16923
55,Heselwood,Julie Caroline,2529,21.5,ELECTED,Labour Party,1 Year,26.2, Bramley and Stanningley,16923
56,Hunt,Neil Richard,692,5.9,,Conservative Party Candidate,,26.2, Bramley and Stanningley,16923
57,Lord,Clive Richard,573,4.9,,Green Party,,26.2, Bramley and Stanningley,16923
58,Murgatroyd,Anne,489,4.2,,The For Britain Movement,,26.2, Bramley and Stanningley,16923
59,Nancolas,Alexander Sebastian,710,6.0,,Conservative Party Candidate,,26.2, Bramley and Stanningley,16923
60,Ritchie,Kevin Mark,2905,24.7,ELECTED,Labour Party,4 Years,26.2, Bramley and Stanningley,16923
61,Grahame,Ron,2756,26.3,ELECTED,Labour Party,4 Years,24.8, Burmantofts and Richmond Hill,16291
62,Hollingsworth,David Ewan,613,5.9,,Liberal Democrats,,24.8, Burmantofts and Richmond Hill,16291
63,Holloran,Geoff,678,6.5,,East Leeds Independents Party,,24.8, Burmantofts and Richmond Hill,16291
64,Khan,Asghar,2577,24.6,ELECTED,Labour Party,2 Years,24.8, Burmantofts and Richmond Hill,16291
65,Lord,Peter,327,3.1,,Conservative Party Candidate,,24.8, Burmantofts and Richmond Hill,16291
66,Marchant,Paul Richard,428,4.1,,Green Party,,24.8, Burmantofts and Richmond Hill,16291
67,Passingham,Alexander John,363,3.5,,Conservative Party Candidate,,24.8, Burmantofts and Richmond Hill,16291
68,Ragan,Denise,2442,23.3,ELECTED,Labour Party,1 Year,24.8, Burmantofts and Richmond Hill,16291
69,Rogers,Robin Michael,294,2.8,,Conservative Party Candidate,,24.8, Burmantofts and Richmond Hill,16291
70,Alam,Naheem Akhtar,2483,12.2,,Labour Party,,40.6, Calverley and Farsley,18194
71,Arbuckle,Kate,387,1.9,,Liberal Democrats,,40.6, Calverley and Farsley,18194
72,Carlill,Peter John,3086,15.1,ELECTED,Labour Party,1 Year,40.6, Calverley and Farsley,18194
73,Carter,Amanda Lesley,3716,18.2,ELECTED,Conservative Party Candidate,2 Years,40.6, Calverley and Farsley,18194
74,Carter,Andrew,3972,19.4,ELECTED,Conservative Party Candidate,4 Years,40.6, Calverley and Farsley,18194
75,Chastney,Benedict Luke,190,0.9,,Liberal Democrats,,40.6, Calverley and Farsley,18194
76,Graham,Ellen Jean,733,3.6,,Green Party,,40.6, Calverley and Farsley,18194
77,Jacques,Robert Hugh,220,1.1,,Liberal Democrats,,40.6, Calverley and Farsley,18194
78,Sharpe,Nicole,2597,12.7,,Labour Party,,40.6, Calverley and Farsley,18194
79,Wood,Roderic,3039,14.9,,Conservative Party Candidate,,40.6, Calverley and Farsley,18194
80,Black,Kevin Irving,672,3.6,,Conservative Party Candidate,,38.1, Chapel Allerton,17927
81,Davies,Mike,379,2.0,,Alliance for Green Socialism,,38.1, Chapel Allerton,17927
82,Dowson,Jane Alice,4708,25.2,ELECTED,Labour Party,1 Year,38.1, Chapel Allerton,17927
83,Feldman,Linda Marilyn,604,3.2,,Conservative Party Candidate,,38.1, Chapel Allerton,17927
84,Harris,Susan Alison,608,3.3,,Liberal Democrats,,38.1, Chapel Allerton,17927
85,Merton-Scott,Justine,907,4.9,,Green Party,,38.1, Chapel Allerton,17927
86,Myers,David Bernard,565,3.0,,Conservative Party Candidate,,38.1, Chapel Allerton,17927
87,Rafique,Mohammed,4728,25.3,ELECTED,Labour Party,2 Years,38.1, Chapel Allerton,17927
88,Taylor,Eileen,4809,25.7,ELECTED,Labour Party,4 Years,38.1, Chapel Allerton,17927
