,Surname,Forename,Votes,Elected,Description,Share,Turnout,Ward,Electorate
0,Dowling,Ian George,1159,,Liberal Democrats,18.3,40.1, Adel and Wharfedale,16027
1,Flynn,Billy,2952,ELECTED,The Conservative Party Candidate,46.6,40.1, Adel and Wharfedale,16027
2,Gill,Nigel James,1235,,Labour and Co-operative Party,19.5,40.1, Adel and Wharfedale,16027
3,Greenwood,Andrew,491,,UKIP Make Brexit Happen,7.8,40.1, Adel and Wharfedale,16027
4,Jeffries,Lesley Evelyn,491,,Green Party,7.8,40.1, Adel and Wharfedale,16027
5,Harrand,Peter Mervyn,3417,ELECTED,The Conservative Party Candidate,54.8,36, Alwoodley,17484
6,Jackson,Brian,60,,Alliance for Green Socialism,1.0,36, Alwoodley,17484
7,Jennings,Louise Mary,186,,Women's Equality Party,3.0,36, Alwoodley,17484
8,Jones,Gideon Matthew William,335,,Green Party,5.4,36, Alwoodley,17484
9,McKenna,Andrea Susan,1663,,Labour Party,26.7,36, Alwoodley,17484
10,Taylor,Alan,577,,Liberal Democrats,9.2,36, Alwoodley,17484
11,Daley,Rich,249,,Green Party,5.1,28.1, Ardsley and Robin Hood,17463
12,Dove,Lindon,596,,UK Independence Party,12.2,28.1, Ardsley and Robin Hood,17463
13,Foster,Mike,1238,,The Conservative Party Candidate,25.4,28.1, Ardsley and Robin Hood,17463
14,Leadley,Tom,798,,Independent,16.4,28.1, Ardsley and Robin Hood,17463
15,Mulherin,Lisa Marie,1738,ELECTED,Labour and Co-operative Party,35.7,28.1, Ardsley and Robin Hood,17463
16,Ward,Ben,225,,Liberal Democrats,4.6,28.1, Ardsley and Robin Hood,17463
17,Whetstone,Daniel Paul,28,,Social Democratic Party,0.6,28.1, Ardsley and Robin Hood,17463
18,Brown,Nina Charlotte,53,,Socialist Alternative,1.3,24.7, Armley,16659
19,Cunningham,Lou,2477,ELECTED,Labour Party,60.7,24.7, Armley,16659
20,Miller,Jim,366,,The For Britain Movement,9.0,24.7, Armley,16659
21,Trigg,Cormac,415,,The Conservative Party Candidate,10.2,24.7, Armley,16659
22,Walker,Dan,226,,Liberal Democrats,5.5,24.7, Armley,16659
23,Whittaker,Keith Duncan,544,,Green Party,13.3,24.7, Armley,16659
24,Gaines,Jarrod Antony,187,,Liberal Democrats,4.4,25.2, Beeston and Holbeck,17049
25,Hall,Alaric Timothy Peter,302,,Green Party,7.1,25.2, Beeston and Holbeck,17049
26,Palfreman,Bill,349,,UKIP,8.2,25.2, Beeston and Holbeck,17049
27,Scopes,Andrew Timothy,2033,ELECTED,Labour Party,47.5,25.2, Beeston and Holbeck,17049
28,Walton,Laura Elizabeth,1079,,Save Our Beeston and Holbeck Independents,25.2,25.2, Beeston and Holbeck,17049
29,Winfield,Robert James William,326,,The Conservative Party Candidate,7.6,25.2, Beeston and Holbeck,17049
30,Bee,Liz,387,,Liberal Democrats,9.7,23.9, Bramley and Stanningley,16852
31,Heselwood,Julie Caroline,1942,ELECTED,Labour Party,48.5,23.9, Bramley and Stanningley,16852
32,Locke,Dean Andrew,109,,English Democrats,2.7,23.9, Bramley and Stanningley,16852
33,Lord,Clive Richard,351,,Green Party,8.8,23.9, Bramley and Stanningley,16852
34,Murgatroyd,Anne,218,,The For Britain Movement,5.4,23.9, Bramley and Stanningley,16852
35,Nancolas,Alex,417,,The Conservative Party Candidate,10.4,23.9, Bramley and Stanningley,16852
